hrv_id,focus_id,hrv_data,hrv_rawdata,timestamp
1,5,47.2,"{'SDNN': 25.6, 'RMSSD': 18.8}",14:27
2,5,51.1,"{'SDNN': 23.9, 'RMSSD': 21.4}",14:28
3,5,49.5,"{'SDNN': 26.0, 'RMSSD': 18.9}",14:29
4,5,51.0,"{'SDNN': 24.3, 'RMSSD': 21.1}",14:30
5,5,53.6,"{'SDNN': 24.2, 'RMSSD': 19.8}",14:31
6,5,50.0,"{'SDNN': 26.7, 'RMSSD': 21.6}",14:32
7,5,51.3,"{'SDNN': 27.4, 'RMSSD': 20.4}",14:33
8,5,53.6,"{'SDNN': 27.9, 'RMSSD': 20.6}",14:34
9,5,50.8,"{'SDNN': 26.7, 'RMSSD': 22.3}",14:35
10,5,50.2,"{'SDNN': 28.3, 'RMSSD': 22.8}",14:36
11,5,51.7,"{'SDNN': 28.6, 'RMSSD': 22.2}",14:37
12,5,51.3,"{'SDNN': 26.7, 'RMSSD': 21.8}",14:38
13,5,56.2,"{'SDNN': 27.7, 'RMSSD': 21.6}",14:39
14,5,55.7,"{'SDNN': 30.8, 'RMSSD': 22.3}",14:40
15,5,55.0,"{'SDNN': 30.8, 'RMSSD': 23.2}",14:41
16,5,56.7,"{'SDNN': 30.7, 'RMSSD': 23.0}",14:42
17,5,56.6,"{'SDNN': 30.1, 'RMSSD': 23.2}",14:43
18,5,53.2,"{'SDNN': 28.9, 'RMSSD': 24.1}",14:44
19,5,57.8,"{'SDNN': 29.5, 'RMSSD': 22.2}",14:45
20,5,55.9,"{'SDNN': 31.3, 'RMSSD': 22.8}",14:46
21,5,57.8,"{'SDNN': 32.8, 'RMSSD': 25.4}",14:47
22,5,58.7,"{'SDNN': 33.0, 'RMSSD': 23.8}",14:48
23,5,55.5,"{'SDNN': 29.7, 'RMSSD': 25.7}",14:49
24,5,54.6,"{'SDNN': 31.6, 'RMSSD': 26.0}",14:50
25,5,55.6,"{'SDNN': 34.1, 'RMSSD': 25.9}",14:51
26,5,57.1,"{'SDNN': 31.7, 'RMSSD': 24.7}",14:52
27,5,59.7,"{'SDNN': 34.2, 'RMSSD': 24.7}",14:53
28,5,60.3,"{'SDNN': 31.8, 'RMSSD': 25.6}",14:54
29,5,55.4,"{'SDNN': 35.1, 'RMSSD': 26.2}",14:55
30,5,58.8,"{'SDNN': 34.0, 'RMSSD': 24.6}",14:56
31,5,58.5,"{'SDNN': 34.5, 'RMSSD': 27.5}",14:57
32,5,57.6,"{'SDNN': 32.9, 'RMSSD': 26.3}",14:58
33,5,57.3,"{'SDNN': 36.1, 'RMSSD': 27.1}",14:59
34,5,58.9,"{'SDNN': 35.7, 'RMSSD': 27.2}",15:0
35,5,62.9,"{'SDNN': 34.6, 'RMSSD': 26.2}",15:1
36,5,59.4,"{'SDNN': 36.7, 'RMSSD': 27.9}",15:2
37,5,60.9,"{'SDNN': 37.3, 'RMSSD': 28.4}",15:3
38,5,62.3,"{'SDNN': 36.1, 'RMSSD': 27.4}",15:4
39,5,60.6,"{'SDNN': 37.6, 'RMSSD': 28.0}",15:5
40,5,64.5,"{'SDNN': 37.5, 'RMSSD': 28.7}",15:6
41,5,64.8,"{'SDNN': 38.6, 'RMSSD': 27.5}",15:7
42,5,60.8,"{'SDNN': 36.8, 'RMSSD': 27.0}",15:8
43,5,62.6,"{'SDNN': 37.9, 'RMSSD': 27.0}",15:9
44,5,61.7,"{'SDNN': 37.8, 'RMSSD': 28.7}",15:10
45,5,61.9,"{'SDNN': 37.3, 'RMSSD': 29.1}",15:11
46,5,60.7,"{'SDNN': 36.6, 'RMSSD': 27.6}",15:12
47,5,64.5,"{'SDNN': 40.1, 'RMSSD': 28.8}",15:13
48,5,64.1,"{'SDNN': 37.6, 'RMSSD': 29.5}",15:14
49,5,61.7,"{'SDNN': 40.5, 'RMSSD': 28.7}",15:15
50,5,63.4,"{'SDNN': 40.2, 'RMSSD': 28.6}",15:16
51,5,67.4,"{'SDNN': 38.2, 'RMSSD': 30.1}",15:17
52,5,63.7,"{'SDNN': 40.5, 'RMSSD': 30.6}",15:18
53,5,63.5,"{'SDNN': 41.5, 'RMSSD': 31.8}",15:19
54,5,65.8,"{'SDNN': 41.0, 'RMSSD': 30.1}",15:20
55,5,69.1,"{'SDNN': 42.4, 'RMSSD': 30.1}",15:21
56,5,65.0,"{'SDNN': 41.3, 'RMSSD': 29.7}",15:22
57,5,67.8,"{'SDNN': 39.9, 'RMSSD': 32.6}",15:23
58,5,68.7,"{'SDNN': 43.4, 'RMSSD': 32.0}",15:24
59,5,65.8,"{'SDNN': 42.0, 'RMSSD': 30.6}",15:25
60,5,69.1,"{'SDNN': 41.3, 'RMSSD': 31.1}",15:26
61,5,67.2,"{'SDNN': 43.2, 'RMSSD': 32.6}",15:27
62,5,69.1,"{'SDNN': 43.9, 'RMSSD': 31.5}",15:28
63,5,69.4,"{'SDNN': 45.4, 'RMSSD': 33.1}",15:29
64,5,69.1,"{'SDNN': 44.1, 'RMSSD': 32.9}",15:30
65,5,66.7,"{'SDNN': 43.9, 'RMSSD': 32.0}",15:31
66,5,71.5,"{'SDNN': 43.9, 'RMSSD': 33.8}",15:32
67,5,68.7,"{'SDNN': 42.9, 'RMSSD': 32.0}",15:33
68,5,68.2,"{'SDNN': 43.3, 'RMSSD': 32.0}",15:34
69,5,67.6,"{'SDNN': 46.8, 'RMSSD': 34.2}",15:35
70,5,71.2,"{'SDNN': 45.6, 'RMSSD': 32.6}",15:36
71,5,72.1,"{'SDNN': 46.0, 'RMSSD': 33.9}",15:37
72,5,68.4,"{'SDNN': 45.0, 'RMSSD': 34.0}",15:38
73,5,71.7,"{'SDNN': 46.2, 'RMSSD': 34.7}",15:39
74,5,70.3,"{'SDNN': 47.4, 'RMSSD': 33.2}",15:40
75,5,73.1,"{'SDNN': 46.7, 'RMSSD': 35.2}",15:41
76,5,70.5,"{'SDNN': 47.5, 'RMSSD': 36.1}",15:42
77,5,73.9,"{'SDNN': 48.4, 'RMSSD': 34.2}",15:43
78,5,72.4,"{'SDNN': 46.4, 'RMSSD': 35.8}",15:44
79,5,76.0,"{'SDNN': 46.5, 'RMSSD': 35.9}",15:45
80,5,71.5,"{'SDNN': 50.5, 'RMSSD': 36.0}",15:46
81,5,73.0,"{'SDNN': 48.6, 'RMSSD': 36.4}",15:47
82,5,72.0,"{'SDNN': 49.1, 'RMSSD': 36.3}",15:48
83,5,77.1,"{'SDNN': 51.4, 'RMSSD': 36.1}",15:49
84,5,77.2,"{'SDNN': 51.7, 'RMSSD': 37.8}",15:50
85,5,73.7,"{'SDNN': 49.0, 'RMSSD': 35.5}",15:51
86,5,76.5,"{'SDNN': 48.9, 'RMSSD': 35.6}",15:52
87,5,77.7,"{'SDNN': 49.2, 'RMSSD': 37.7}",15:53
88,5,76.4,"{'SDNN': 49.4, 'RMSSD': 36.9}",15:54
89,5,76.6,"{'SDNN': 52.8, 'RMSSD': 36.2}",15:55
90,5,75.2,"{'SDNN': 53.0, 'RMSSD': 37.1}",15:56
91,5,74.6,"{'SDNN': 50.5, 'RMSSD': 38.6}",15:57
